time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
631153353990,"12 km NNW of Meadow Lakes, Alaska",reviewed,0,96,earthquake,2.5, Alaska,-149.6692,61.7302,30.1,1990-01-01 00:22:33.990000+00:00
631153491210,"14 km S of Volcano, Hawaii",reviewed,0,31,earthquake,1.41, Hawaii,-155.2123333,19.3176667,6.585,1990-01-01 00:24:51.210000+00:00
631154083450,"7 km W of Cobb, California",reviewed,0,19,earthquake,1.11, California,-122.8061667,38.821,3.22,1990-01-01 00:34:43.450000+00:00
631155512130,"11 km E of Mammoth Lakes, California",reviewed,0,15,earthquake,0.98, California,-118.8463333,37.6643333,-0.584,1990-01-01 00:58:32.130000+00:00
631155824490,"16km N of Fillmore, CA",reviewed,0,134,earthquake,2.95,California,-118.934,34.546,16.122,1990-01-01 01:03:44.490000+00:00
631155853760,"16km N of Fillmore, CA",reviewed,0,118,earthquake,2.77,California,-118.923,34.543,16.342,1990-01-01 01:04:13.760000+00:00
631156030570,"6 km WSW of Mammoth Lakes, California",reviewed,0,20,earthquake,1.13, California,-119.04,37.6326667,-1.499,1990-01-01 01:07:10.570000+00:00
631156431950,"12 km E of Mammoth Lakes, California",reviewed,0,11,earthquake,0.83, California,-118.8341667,37.6615,0.556,1990-01-01 01:13:51.950000+00:00
631156614070,"11 km E of Mammoth Lakes, California",reviewed,0,39,earthquake,1.59, California,-118.8401667,37.6623333,-0.234,1990-01-01 01:16:54.070000+00:00
631156620210,"1 km W of Wilkeson, Washington",reviewed,0,74,earthquake,2.2, Washington,-122.0711667,47.1025,8.382,1990-01-01 01:17:00.210000+00:00
631156667040,"6 km WSW of Mammoth Lakes, California",reviewed,0,64,earthquake,2.04, California,-119.0408333,37.6321667,-1.437,1990-01-01 01:17:47.040000+00:00
631156954580,"9 km W of Cashmere, Washington",reviewed,0,26,earthquake,1.3, Washington,-120.595,47.5093333,8.81,1990-01-01 01:22:34.580000+00:00
631157260930,"6 km W of Cobb, California",reviewed,0,12,earthquake,0.89, California,-122.796,38.819,1.81,1990-01-01 01:27:40.930000+00:00
631158495440,"9 km SSE of Gilroy, California",reviewed,0,21,earthquake,1.16, California,-121.5148333,36.9313333,2.858,1990-01-01 01:48:15.440000+00:00
631158697890,"16km N of Fillmore, CA",reviewed,0,46,earthquake,1.73,California,-118.937,34.545,15.422,1990-01-01 01:51:37.890000+00:00
631159381600,"4 km N of Interlaken, California",reviewed,0,35,earthquake,1.51, California,-121.732,36.9903333,11.009,1990-01-01 02:03:01.600000+00:00
631160271850,"6 km W of Cobb, California",reviewed,0,14,earthquake,0.96, California,-122.7931667,38.8278333,4.029,1990-01-01 02:17:51.850000+00:00
631160925580,"9 km SSE of Gilroy, California",reviewed,0,23,earthquake,1.22, California,-121.5103333,36.9335,3.198,1990-01-01 02:28:45.580000+00:00
631161577430,"13 km N of Livermore, California",reviewed,0,49,earthquake,1.78, California,-121.7585,37.7988333,11.163,1990-01-01 02:39:37.430000+00:00
631162061250,"35 km SSW of Mandráki, Greece",reviewed,0,168,earthquake,3.3, Greece,26.969,36.323,144.8,1990-01-01 02:47:41.250000+00:00
631162540150,"7 km W of Cobb, California",reviewed,0,9,earthquake,0.75, California,-122.8051667,38.8335,-0.566,1990-01-01 02:55:40.150000+00:00
631164358270,"2 km SSW of Monterosso Grana, Italy",reviewed,0,39,earthquake,1.6, Italy,7.312,44.384,10.0,1990-01-01 03:25:58.270000+00:00
631164459630,"7 km WSW of Cobb, California",reviewed,0,97,earthquake,2.51, California,-122.8056667,38.7998333,1.368,1990-01-01 03:27:39.630000+00:00
